SISTEMA,CENTRO DE CONTROL REGIONAL,ZONA DE CARGA,CLAVE,NOMBRE,NIVEL DE TENSIÓN (kV),DIRECTAMENTE MODELADA,INDIRECTAMENTE MODELADA,DIRECTAMENTE MODELADA,INDIRECTAMENTE MODELADA,ZONA DE OPERACIÓN DE TRANSMISIÓN,GERENCIA REGIONAL DE TRANSMISIÓN,ZONA DE DISTRIBUCIÓN,GERENCIA DIVISIONAL DE DISTRIBUCIÓN,CLAVE DE ENTIDAD FEDERATIVA (INEGI),ENTIDAD FEDERATIVA (INEGI),CLAVE DE MUNICIPIO (INEGI),MUNICIPIO (INEGI),REGION DE TRANSMISION
BCA,BAJA CALIFORNIA,ENSENADA,07ACU-115,Acueducto La Mision,115.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,1.0,ENSENADA,ENSENADA
BCA,BAJA CALIFORNIA,ENSENADA,07AUE-115,Aguas Ensenada,115.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,1.0,ENSENADA,ENSENADA
BCA,BAJA CALIFORNIA,ENSENADA,07CIP-115,Cipres,115.0,Directamente Modelada,Indirectamente Modelada,Directamente Modelada,No Aplica,COSTA,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,1.0,ENSENADA,ENSENADA
BCA,BAJA CALIFORNIA,ENSENADA,07CME-115,Cemex,115.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,1.0,ENSENADA,ENSENADA
BCA,BAJA CALIFORNIA,ENSENADA,07COE-115,Colonet,115.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,1.0,ENSENADA,ENSENADA
BCA,BAJA CALIFORNIA,ENSENADA,07EDA-115,Ensenada,115.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,1.0,ENSENADA,ENSENADA
BCA,BAJA CALIFORNIA,ENSENADA,07ENT-115,Entronque San Felipe,115.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,1.0,ENSENADA,ENSENADA
BCA,BAJA CALIFORNIA,ENSENADA,07EPC-115,Cementera Punta China,115.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,1.0,ENSENADA,ENSENADA
BCA,BAJA CALIFORNIA,ENSENADA,07FMO-115,Fabrica Monterrey,115.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,1.0,ENSENADA,ENSENADA
BCA,BAJA CALIFORNIA,ENSENADA,07GLL-115,Gallo,115.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,1.0,ENSENADA,ENSENADA
BCA,BAJA CALIFORNIA,ENSENADA,07JAT-115,Jatay,115.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,1.0,ENSENADA,ENSENADA
BCA,BAJA CALIFORNIA,ENSENADA,07JOV-230,La Jovita,230.0,Directamente Modelada,No Aplica,Directamente Modelada,No Aplica,COSTA,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,1.0,ENSENADA,ENSENADA
BCA,BAJA CALIFORNIA,ENSENADA,07LOS-115,Lomas,115.0,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,2.0,BAJA CALIFORNIA,1.0,ENSENADA,ENSENADA
